TrackId,track_name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice,genre_name
1,"For Those About To Rock (We Salute You)",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99,Rock
2,"Balls to the Wall",2,2,1,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",342562,5510424,0.99,Rock
3,"Fast As a Shark",3,2,1,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619,3990994,0.99,Rock
4,"Restless and Wild",3,2,1,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,0.99,Rock
5,"Princess of the Dawn",3,2,1,"Deaffy & R.A. Smith-Diesel",375418,6290521,0.99,Rock
6,"Put The Finger On You",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,0.99,Rock
7,"Let's Get It Up",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",233926,7636561,0.99,Rock
8,"Inject The Venom",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860,0.99,Rock
9,Snowballed,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99,Rock
10,"Evil Walks",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245,0.99,Rock
11,C.O.D.,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",199836,6566314,0.99,Rock
12,"Breaking The Rules",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840,0.99,Rock
13,"Night Of The Long Knives",1,1,1,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347,0.99,Rock
14,Spellbound,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",270863,8817038,0.99,Rock
15,"Go Down",4,1,1,AC/DC,331180,10847611,0.99,Rock
16,"Dog Eat Dog",4,1,1,AC/DC,215196,7032162,0.99,Rock
17,"Let There Be Rock",4,1,1,AC/DC,366654,12021261,0.99,Rock
18,"Bad Boy Boogie",4,1,1,AC/DC,267728,8776140,0.99,Rock
19,"Problem Child",4,1,1,AC/DC,325041,10617116,0.99,Rock
20,Overdose,4,1,1,AC/DC,369319,12066294,0.99,Rock
21,"Hell Ain't A Bad Place To Be",4,1,1,AC/DC,254380,8331286,0.99,Rock
22,"Whole Lotta Rosie",4,1,1,AC/DC,323761,10547154,0.99,Rock
23,"Walk On Water",5,1,1,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99,Rock
24,"Love In An Elevator",5,1,1,"Steven Tyler, Joe Perry",321828,10552051,0.99,Rock
25,"Rag Doll",5,1,1,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99,Rock
26,"What It Takes",5,1,1,"Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99,Rock
27,"Dude (Looks Like A Lady)",5,1,1,"Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,Rock
28,"Janie's Got A Gun",5,1,1,"Steven Tyler, Tom Hamilton",330736,10869391,0.99,Rock
29,Cryin',5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99,Rock
30,Amazing,5,1,1,"Steven Tyler, Richie Supa",356519,11616195,0.99,Rock
31,"Blind Man",5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99,Rock
32,"Deuces Are Wild",5,1,1,"Steven Tyler, Jim Vallance",215875,7074167,0.99,Rock
33,"The Other Side",5,1,1,"Steven Tyler, Jim Vallance",244375,7983270,0.99,Rock
34,Crazy,5,1,1,"Steven Tyler, Joe Perry, Desmond Child",316656,10402398,0.99,Rock
35,"Eat The Rich",5,1,1,"Steven Tyler, Joe Perry, Jim Vallance",251036,8262039,0.99,Rock
36,Angel,5,1,1,"Steven Tyler, Desmond Child",307617,9989331,0.99,Rock
37,"Livin' On The Edge",5,1,1,"Steven Tyler, Joe Perry, Mark Hudson",381231,12374569,0.99,Rock
38,"All I Really Want",6,1,1,"Alanis Morissette & Glenn Ballard",284891,9375567,0.99,Rock
39,"You Oughta Know",6,1,1,"Alanis Morissette & Glenn Ballard",249234,8196916,0.99,Rock
40,Perfect,6,1,1,"Alanis Morissette & Glenn Ballard",188133,6145404,0.99,Rock
41,"Hand In My Pocket",6,1,1,"Alanis Morissette & Glenn Ballard",221570,7224246,0.99,Rock
42,"Right Through You",6,1,1,"Alanis Morissette & Glenn Ballard",176117,5793082,0.99,Rock
43,Forgiven,6,1,1,"Alanis Morissette & Glenn Ballard",300355,9753256,0.99,Rock
44,"You Learn",6,1,1,"Alanis Morissette & Glenn Ballard",239699,7824837,0.99,Rock
45,"Head Over Feet",6,1,1,"Alanis Morissette & Glenn Ballard",267493,8758008,0.99,Rock
46,"Mary Jane",6,1,1,"Alanis Morissette & Glenn Ballard",280607,9163588,0.99,Rock
47,Ironic,6,1,1,"Alanis Morissette & Glenn Ballard",229825,7598866,0.99,Rock
48,"Not The Doctor",6,1,1,"Alanis Morissette & Glenn Ballard",227631,7604601,0.99,Rock
49,"Wake Up",6,1,1,"Alanis Morissette & Glenn Ballard",293485,9703359,0.99,Rock
50,"You Oughta Know (Alternate)",6,1,1,"Alanis Morissette & Glenn Ballard",491885,16008629,0.99,Rock
51,"We Die Young",7,1,1,"Jerry Cantrell",152084,4925362,0.99,Rock
52,"Man In The Box",7,1,1,"Jerry Cantrell, Layne Staley",286641,9310272,0.99,Rock
53,"Sea Of Sorrow",7,1,1,"Jerry Cantrell",349831,11316328,0.99,Rock
54,"Bleed The Freak",7,1,1,"Jerry Cantrell",241946,7847716,0.99,Rock
55,"I Can't Remember",7,1,1,"Jerry Cantrell, Layne Staley",222955,7302550,0.99,Rock
56,"Love, Hate, Love",7,1,1,"Jerry Cantrell, Layne Staley",387134,12575396,0.99,Rock
57,"It Ain't Like That",7,1,1,"Jerry Cantrell, Michael Starr, Sean Kinney",277577,8993793,0.99,Rock
58,Sunshine,7,1,1,"Jerry Cantrell",284969,9216057,0.99,Rock
59,"Put You Down",7,1,1,"Jerry Cantrell",196231,6420530,0.99,Rock
60,Confusion,7,1,1,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Rock
61,"I Know Somethin (Bout You)",7,1,1,"Jerry Cantrell",261955,8497788,0.99,Rock
62,"Real Thing",7,1,1,"Jerry Cantrell, Layne Staley",243879,7937731,0.99,Rock
85,Cochise,10,1,1,"Audioslave/Chris Cornell",222380,5339931,0.99,Rock
86,"Show Me How to Live",10,1,1,"Audioslave/Chris Cornell",277890,6672176,0.99,Rock
87,Gasoline,10,1,1,"Audioslave/Chris Cornell",279457,6709793,0.99,Rock
88,"What You Are",10,1,1,"Audioslave/Chris Cornell",249391,5988186,0.99,Rock
89,"Like a Stone",10,1,1,"Audioslave/Chris Cornell",294034,7059624,0.99,Rock
90,"Set It Off",10,1,1,"Audioslave/Chris Cornell",263262,6321091,0.99,Rock
91,"Shadow on the Sun",10,1,1,"Audioslave/Chris Cornell",343457,8245793,0.99,Rock
92,"I am the Highway",10,1,1,"Audioslave/Chris Cornell",334942,8041411,0.99,Rock
93,Exploder,10,1,1,"Audioslave/Chris Cornell",206053,4948095,0.99,Rock
94,Hypnotize,10,1,1,"Audioslave/Chris Cornell",206628,4961887,0.99,Rock
95,"Bring'em Back Alive",10,1,1,"Audioslave/Chris Cornell",329534,7911634,0.99,Rock
96,"Light My Way",10,1,1,"Audioslave/Chris Cornell",303595,7289084,0.99,Rock
97,"Getaway Car",10,1,1,"Audioslave/Chris Cornell",299598,7193162,0.99,Rock
98,"The Last Remaining Light",10,1,1,"Audioslave/Chris Cornell",317492,7622615,0.99,Rock
337,"You Shook Me",30,1,1,"J B Lenoir/Willie Dixon",315951,10249958,0.99,Rock
338,"I Can't Quit You Baby",30,1,1,"Willie Dixon",263836,8581414,0.99,Rock
339,"Communication Breakdown",30,1,1,"Jimmy Page/John Bonham/John Paul Jones",192653,6287257,0.99,Rock
340,"Dazed and Confused",30,1,1,"Jimmy Page",401920,13035765,0.99,Rock
341,"The Girl I Love She Got Long Black Wavy Hair",30,1,1,"Jimmy Page/John Bonham/John Estes/John Paul Jones/Robert Plant",183327,5995686,0.99,Rock
342,"What is and Should Never Be",30,1,1,"Jimmy Page/Robert Plant",260675,8497116,0.99,Rock
343,"Communication Breakdown(2)",30,1,1,"Jimmy Page/John Bonham/John Paul Jones",161149,5261022,0.99,Rock
344,"Travelling Riverside Blues",30,1,1,"Jimmy Page/Robert Johnson/Robert Plant",312032,10232581,0.99,Rock
345,"Whole Lotta Love",30,1,1,"Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon",373394,12258175,0.99,Rock
346,"Somethin' Else",30,1,1,"Bob Cochran/Sharon Sheeley",127869,4165650,0.99,Rock
347,"Communication Breakdown(3)",30,1,1,"Jimmy Page/John Bonham/John Paul Jones",185260,6041133,0.99,Rock
348,"I Can't Quit You Baby(2)",30,1,1,"Willie Dixon",380551,12377615,0.99,Rock
349,"You Shook Me(2)",30,1,1,"J B Lenoir/Willie Dixon",619467,20138673,0.99,Rock
350,"How Many More Times",30,1,1,"Chester Burnett/Jimmy Page/John Bonham/John Paul Jones/Robert Plant",711836,23092953,0.99,Rock
351,"Debra Kadabra",31,1,1,"Frank Zappa",234553,7649679,0.99,Rock
352,"Carolina Hard-Core Ecstasy",31,1,1,"Frank Zappa",359680,11731061,0.99,Rock
353,"Sam With The Showing Scalp Flat Top",31,1,1,"Don Van Vliet",171284,5572993,0.99,Rock
354,"Poofter's Froth Wyoming Plans Ahead",31,1,1,"Frank Zappa",183902,6007019,0.99,Rock
355,"200 Years Old",31,1,1,"Frank Zappa",272561,8912465,0.99,Rock
356,Cucamonga,31,1,1,"Frank Zappa",144483,4728586,0.99,Rock
357,"Advance Romance",31,1,1,"Frank Zappa",677694,22080051,0.99,Rock
358,"Man With The Woman Head",31,1,1,"Don Van Vliet",88894,2922044,0.99,Rock
359,"Muffin Man",31,1,1,"Frank Zappa",332878,10891682,0.99,Rock
419,"A Kind Of Magic",36,1,1,"Roger Taylor",262608,8689618,0.99,Rock
420,"Under Pressure",36,1,1,"Queen & David Bowie",236617,7739042,0.99,Rock
421,"Radio GA GA",36,1,1,"Roger Taylor",343745,11358573,0.99,Rock
422,"I Want It All",36,1,1,Queen,241684,7876564,0.99,Rock
423,"I Want To Break Free",36,1,1,"John Deacon",259108,8552861,0.99,Rock
424,Innuendo,36,1,1,Queen,387761,12664591,0.99,Rock
425,"It's A Hard Life",36,1,1,"Freddie Mercury",249417,8112242,0.99,Rock
426,Breakthru,36,1,1,Queen,249234,8150479,0.99,Rock
427,"Who Wants To Live Forever",36,1,1,"Brian May",297691,9577577,0.99,Rock
428,Headlong,36,1,1,Queen,273057,8921404,0.99,Rock
429,"The Miracle",36,1,1,Queen,294974,9671923,0.99,Rock
430,"I'm Going Slightly Mad",36,1,1,Queen,248032,8192339,0.99,Rock
431,"The Invisible Man",36,1,1,Queen,238994,7920353,0.99,Rock
432,"Hammer To Fall",36,1,1,"Brian May",220316,7255404,0.99,Rock
433,"Friends Will Be Friends",36,1,1,"Freddie Mercury & John Deacon",248920,8114582,0.99,Rock
434,"The Show Must Go On",36,1,1,Queen,263784,8526760,0.99,Rock
435,"One Vision",36,1,1,Queen,242599,7936928,0.99,Rock
436,"Detroit Rock City",37,1,1,"Paul Stanley, B. Ezrin",218880,7146372,0.99,Rock
437,"Black Diamond",37,1,1,"Paul Stanley",314148,10266007,0.99,Rock
438,"Hard Luck Woman",37,1,1,"Paul Stanley",216032,7109267,0.99,Rock
439,"Sure Know Something",37,1,1,"Paul Stanley, Vincent Poncia",242468,7939886,0.99,Rock
